tmk_raw,tmk_dashed,land_use,assessed_value,area_ac,address,av_band
97032084,9-7-032-084,Residential,100.0,0.03429716889506571,,"(0, $1k]"
94030083,9-4-030-083,Residential,100.0,0.008013660869987902,,"(0, $1k]"
91020013,9-1-020-013,Residential,100.0,0.18603269090952917,,"(0, $1k]"
91080090,9-1-080-090,Residential,100.0,0.041720255792801565,,"(0, $1k]"
91126007,9-1-126-007,Residential,100.0,4.730396650259077,,"(0, $1k]"
91071077,9-1-071-077,Residential,1500.0,0.2146413007254722,,"($1k, $10k]"
99071052,9-9-071-052,Residential,3300.0,0.4259373046333296,,"($1k, $10k]"
13009060,1-3-009-060,Residential,2100.0,0.003222906924035106,,"($1k, $10k]"
98060030,9-8-060-030,Residential,5200.0,0.7352179952197407,,"($1k, $10k]"
99001011,9-9-001-011,Residential,3500.0,0.47233513079392964,,"($1k, $10k]"
98026024,9-8-026-024,Residential,11000.0,0.021111175633335418,,"($10k, $25k]"
99001016,9-9-001-016,Residential,15000.0,2.44270463413093,,"($10k, $25k]"
98024071,9-8-024-071,Residential,12600.0,0.02635078385627901,,"($10k, $25k]"
99001007,9-9-001-007,Residential,18500.0,3.567420603407434,,"($10k, $25k]"
94011094,9-4-011-094,Residential,11000.0,0.023790512909531707,,"($10k, $25k]"
91072109,9-1-072-109,Residential,31200.0,8.237126666492061,,"($25k, $50k]"
99069045,9-9-069-045,Residential,48100.0,0.0579284668884934,,"($25k, $50k]"
99042016,9-9-042-016,Residential,35600.0,0.05202096354979045,,"($25k, $50k]"
98026023,9-8-026-023,Residential,36100.0,0.05453008107480532,,"($25k, $50k]"
13005013,1-3-005-013,Residential,37800.0,0.021042085514051102,,"($25k, $50k]"
98019007,9-8-019-007,Residential,36700.0,5.469990984141213,,"($25k, $50k]"
94030084,9-4-030-084,Residential,100.0,0.0019807243639991937,,"(0, $1k]"
11070031,1-1-070-031,Industrial,100.0,3.668401140621718,,"(0, $1k]"
12023095,1-2-023-095,Industrial,17700.0,0.01771103235841981,,"($10k, $25k]"
12014102,1-2-014-102,Industrial,4100.0,0.516641175019007,,"($1k, $10k]"
99004006,9-9-004-006,Preservation,100.0,1.2972286089710223,,"(0, $1k]"
97020059,9-7-020-059,Preservation,6000.0,0.42630975102725177,,"($1k, $10k]"
99003055,9-9-003-055,Preservation,25800.0,2.4843855549860847,990501 SALT LAKE BLVD,"($25k, $50k]"
94047011,9-4-047-011,Commercial,100.0,6.400522018784973e-05,,"(0, $1k]"
97022026,9-7-022-026,Commercial,31500.0,0.005162745655897509,,"($25k, $50k]"
98008027,9-8-008-027,Commercial,20500.0,0.0038966226154321434,,"($10k, $25k]"
98060015,9-8-060-015,Agricultural,100.0,0.599233878829556,,"(0, $1k]"
96004029,9-6-004-029,Agricultural,7000.0,0.4658296781175043,,"($1k, $10k]"
91016031,9-1-016-031,Agricultural,100.0,6.358475954767654,,"(0, $1k]"
11010040,1-1-010-040,Public Service,6800.0,0.049048344570789756,,"($1k, $10k]"
94007025,9-4-007-025,Public Service,11300.0,0.2861011152026075,,"($10k, $25k]"
93002024,9-3-002-024,Public Service,16800.0,0.4251485403510138,,"($10k, $25k]"
